icd_idx	icd	Case	Name	num_chromosomes	total_count	icd_category	icd_number	ukbb_field_id	TableID	FieldID	Cat1_ID	Cat1_Title	Cat2_ID	Cat2_Title	Cat3_ID	Cat3_Title	Field	Participants	Items	Stability	ValueType	Units	ItemType	Strata	Sexed	Instances	Array	Coding	Notes	Link	Autoimmune	feelings	brain_measurements	acceleration_measurements	cancer	food_intake	immune_cell_measurements	urine_biomarkers	eye_measurements	eye_condition	intelligence	body_size	lung_function	physical_ability	vital_sign
6863	BIN1920	150741	Mood_swings	22	730732	BIN	1920	1920	10137	1920	100000	UK Biobank Assessment Centre	100025	Touchscreen	100059	Psychosocial factors	Mood swings	501724	539136	Complete	Categorical single		Data	Primary	Unisex	3	1	100349	ACE touchscreen question "Does your mood often go up and down?" If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question     	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1920		TRUE	FALSE	FALSE	FALSE	FALSE		FALSE							
6885	BIN1930	143813	Miserableness	22	730750	BIN	1930	1930	10137	1930	100000	UK Biobank Assessment Centre	100025	Touchscreen	100059	Psychosocial factors	Miserableness	501724	539136	Complete	Categorical single		Data	Primary	Unisex	3	1	100349	ACE touchscreen question "Do you ever feel 'just miserable' for no reason?" If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question     	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1930		TRUE	FALSE	FALSE	FALSE	FALSE		FALSE							
6859	BIN1940	92202	Irritability	22	730676	BIN	1940	1940	10137	1940	100000	UK Biobank Assessment Centre	100025	Touchscreen	100059	Psychosocial factors	Irritability	501724	539136	Complete	Categorical single		Data	Primary	Unisex	3	1	100349	ACE touchscreen question "Are you an irritable person?" If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question     	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1940		TRUE	FALSE	FALSE	FALSE	FALSE		FALSE							
6880	BIN1950	184345	Sensitivity_/_hurt_feelings	22	730722	BIN	1950	1950	10137	1950	100000	UK Biobank Assessment Centre	100025	Touchscreen	100059	Psychosocial factors	Sensitivity / hurt feelings	501723	539135	Complete	Categorical single		Data	Primary	Unisex	3	1	100349	ACE touchscreen question "Are your feelings easily hurt?" If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question     	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1950		TRUE	FALSE	FALSE	FALSE	FALSE		FALSE							
6865	BIN1960	136434	Fed-up_feelings	22	730743	BIN	1960	1960	10137	1960	100000	UK Biobank Assessment Centre	100025	Touchscreen	100059	Psychosocial factors	Fed-up feelings	501723	539135	Complete	Categorical single		Data	Primary	Unisex	3	1	100349	ACE touchscreen question "Do you often feel 'fed-up'?" If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question     	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1960		TRUE	FALSE	FALSE	FALSE	FALSE		FALSE							
6886	BIN1970	79183	Nervous_feelings	22	730736	BIN	1970	1970	10137	1970	100000	UK Biobank Assessment Centre	100025	Touchscreen	100059	Psychosocial factors	Nervous feelings	501723	539135	Complete	Categorical single		Data	Primary	Unisex	3	1	100349	ACE touchscreen question "Would you call yourself a nervous person?" If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question     	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1970		TRUE	FALSE	FALSE	FALSE	FALSE		FALSE							
6891	BIN1980	188518	Worrier_/_anxious_feelings	22	730729	BIN	1980	1980	10137	1980	100000	UK Biobank Assessment Centre	100025	Touchscreen	100059	Psychosocial factors	Worrier / anxious feelings	501722	539134	Complete	Categorical single		Data	Primary	Unisex	3	1	100349	ACE touchscreen question "Are you a worrier?" If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question     	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1980		TRUE	FALSE	FALSE	FALSE	FALSE		FALSE							
6882	BIN1990	57228	Tense_/_\highly_strung\''	22	730712	BIN	1990	1990	10137	1990	100000	UK Biobank Assessment Centre	100025	Touchscreen	100059	Psychosocial factors	Tense / 'highly strung'	501722	539134	Complete	Categorical single		Data	Primary	Unisex	3	1	100349	ACE touchscreen question "Would you call yourself tense or 'highly strung'?" If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question     	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1990		TRUE	FALSE	FALSE	FALSE	FALSE		FALSE							
6884	BIN2000	157254	Worry_too_long_after_embarrassment	22	730708	BIN	2000	2000	10137	2000	100000	UK Biobank Assessment Centre	100025	Touchscreen	100059	Psychosocial factors	Worry too long after embarrassment	501722	539134	Complete	Categorical single		Data	Primary	Unisex	3	1	100349	ACE touchscreen question "Do you worry too long after an embarrassing experience?" If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question     	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2000		TRUE	FALSE	FALSE	FALSE	FALSE		FALSE							
6858	BIN2010	70835	Suffer_from_\nerves\''	22	730703	BIN	2010	2010	10137	2010	100000	UK Biobank Assessment Centre	100025	Touchscreen	100059	Psychosocial factors	Suffer from 'nerves'	501722	539134	Complete	Categorical single		Data	Primary	Unisex	3	1	100349	ACE touchscreen question "Do you suffer from 'nerves'?" If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question     	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2010		TRUE	FALSE	FALSE	FALSE	FALSE		FALSE							
6879	BIN2020	60153	Loneliness,_isolation	22	730759	BIN	2020	2020	10137	2020	100000	UK Biobank Assessment Centre	100025	Touchscreen	100059	Psychosocial factors	Loneliness, isolation	501721	539133	Complete	Categorical single		Data	Primary	Unisex	3	1	100349	ACE touchscreen question "Do you often feel lonely?" If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question     	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2020		TRUE	FALSE	FALSE	FALSE	FALSE		FALSE							
