code	regtype	category	numcases	phenotype
BIN20483	logistic	BIN	2433.0	Ever_attempted_suicide
BIN20484	logistic	BIN	502618.0	Attempted_suicide_vs_all
BIN2188	logistic	BIN	109472.0	Long-standing_illness,_disability_or_infirmity
BIN22126	logistic	BIN	19390.0	Doctor_diagnosed_hayfever_or_allergic_rhinitis
BIN22127	logistic	BIN	10841.0	Doctor_diagnosed_asthma
BIN22128	logistic	BIN	260.0	Doctor_diagnosed_emphysema
BIN22129	logistic	BIN	961.0	Doctor_diagnosed_chronic_bronchitis
BIN22130	logistic	BIN	1265.0	Doctor_diagnosed_COPD_(chronic_obstructive_pulmonary_disease)
BIN22131	logistic	BIN	3.0	Doctor_diagnosed_cystic_fibrosis
BIN22132	logistic	BIN	36.0	Doctor_diagnosed_alpha-1_antitrypsin_deficiency
BIN22133	logistic	BIN	361.0	Doctor_diagnosed_sarcoidosis
BIN22134	logistic	BIN	758.0	Doctor_diagnosed_bronchiectasis
BIN22135	logistic	BIN	87.0	Doctor_diagnosed_idiopathic_pulmonary_fibrosis
BIN22136	logistic	BIN	38.0	Doctor_diagnosed_fibrosing_alveolitis/unspecified_alveolitis
BIN22137	logistic	BIN	440.0	Doctor_diagnosed_tuberculosis
BIN22138	logistic	BIN	7.0	Doctor_diagnosed_silicosis
BIN22139	logistic	BIN	61.0	Doctor_diagnosed_asbestosis
BIN22140	logistic	BIN	101.0	Doctor_diagnosed_lung_cancer_(not_mesothelioma)
BIN22141	logistic	BIN	8.0	Doctor_diagnosed_mesothelioma_of_the_lung
BIN22502	logistic	BIN	11689.0	Cough_on_most_days
BIN22504	logistic	BIN	7175.0	Bring_up_phlegm/sputum/mucus_on_most_days
BIN2257	logistic	BIN	127792.0	Hearing_difficulty/problems_with_background_noise
BIN2443	logistic	BIN	16597.0	Diabetes_diagnosed_by_doctor
BIN2453	logistic	BIN	27559.0	Cancer_diagnosed_by_doctor
BIN2463	logistic	BIN	33636.0	Fractured/broken_bones_in_last_5_years
BIN2473	logistic	BIN	69980.0	Other_serious_medical_condition/disability_diagnosed_by_doctor
BIN2774	logistic	BIN	56361.0	Ever_had_stillbirth,_spontaneous_miscarriage_or_termination
BIN2814	logistic	BIN	71776.0	Ever_used_hormone-replacement_therapy_(HRT)
BIN3393	logistic	BIN	11152.0	Hearing_aid_user
BIN3404	logistic	BIN	53883.0	Neck/shoulder_pain_for_3+_months
BIN3414	logistic	BIN	30388.0	Hip_pain_for_3+_months
BIN3571	logistic	BIN	59459.0	Back_pain_for_3+_months
BIN3591	logistic	BIN	13545.0	Ever_had_hysterectomy_(womb_removed)
BIN3741	logistic	BIN	15775.0	Stomach/abdominal_pain_for_3+_months
BIN3773	logistic	BIN	57847.0	Knee_pain_for_3+_months
BIN3799	logistic	BIN	30503.0	Headaches_for_3+_months
BIN4041	logistic	BIN	646.0	Gestational_diabetes_only
BIN4067	logistic	BIN	2948.0	Facial_pains_for_3+_months
BIN4792	logistic	BIN	107.0	Cochlear_implant
BROADBIN1000011	linear	BROADBIN	90282.0	Irritability
BROADQT2123	linear	BROADQT	336107.0	Body_mass_index_(BMI)
FH1001	logistic	FH	123832.0	Lung_cancer
FH1002	logistic	FH	62401.0	Breast_cancer
FH1019	logistic	FH	74244.0	Bowel_cancer
FH1044	logistic	FH	34359.0	Prostate_cancer
FH1065	logistic	FH	199068.0	High_blood_pressure
FH1113	logistic	FH	78578.0	Chronic_bronchitis/emphysema
FH1220	logistic	FH	79177.0	Diabetes
FH1262	logistic	FH	21755.0	Parkinson's_disease
FH1263	logistic	FH	51794.0	Alzheimer's_disease/dementia
FH1286	logistic	FH	54576.0	Severe_depression
HC0	logistic	HC	1047.0	scoliosis
HC1	logistic	HC	3599.0	bowel_/_intestinal_obstruction
HC10	logistic	HC	249.0	dysmenorrhoea_/_dysmenorrhea
