GBE_ID	ALL_ID	BETA	SE	Z_STAT	P	AIC	LOCUS
cancer1001	dosage.scale(gcounts)	0.0131980423929055	0.0195662771687433	0.674530074325486	0.499974372221246	28837.2348840913	A
cancer1001	dosage.scale(gcounts)	0.00829263742789776	0.0195462584474705	0.424257023418766	0.671378378057926	28839.990528925	B
cancer1001	dosage.scale(gcounts)	0.00509806488591585	0.0196900660107167	0.258915581244935	0.795700375924659	28840.1680815533	C
cancer1001	dosage.scale(gcounts)	0.0122001748196026	0.0202432389758543	0.602678989965725	0.546722261058967	28839.8864816392	DRB5
cancer1001	dosage.scale(gcounts)	0.0512474115536713	0.0205802669604252	2.49012375068883	0.0127698623349464	28833.5391249939	DRB4
cancer1001	dosage.scale(gcounts)	0.0115194469406325	0.0200757526576019	0.573799007045973	0.566103820763108	28839.8874567905	DRB3
cancer1001	dosage.scale(gcounts)	0.0721828253974205	0.0181762235851317	3.97127737009499	7.14882878857524e-05	28824.696999675	DRB1
cancer1001	dosage.scale(gcounts)	0.0616484639798261	0.0185124065405079	3.33011614913114	0.000868097641134484	28827.9966698915	DQB1
cancer1001	dosage.scale(gcounts)	0.068496383092545	0.018800855460789	3.64325885252407	0.000269207863217337	28827.0648772826	DQA1
cancer1001	dosage.scale(gcounts)	0.039600078149746	0.0199854673603901	1.98144368783844	0.0475415385368188	28834.6954916021	DPB1
cancer1001	dosage.scale(gcounts)	0.0274852098793884	0.0202628838747351	1.35643129819534	0.174961980643457	28838.1628807933	DPA1
cancer1002	dosage.scale(gcounts)	0.00462830002359443	0.00932706939331251	0.496222321119741	0.619737564334613	89870.4495447513	A
cancer1002	dosage.scale(gcounts)	-0.0188234968787214	0.00962615328314373	-1.95545368176124	0.0505295452799208	89866.7791051019	B
cancer1002	dosage.scale(gcounts)	-0.0166943428243267	0.00951641425787884	-1.7542681909318	0.0793845635439899	89867.5781607236	C
cancer1002	dosage.scale(gcounts)	-0.000988533781519721	0.00953515823969633	-0.103672509324943	0.917429243451038	89871.0132189803	DRB5
cancer1002	dosage.scale(gcounts)	-0.00426288351051377	0.00971705432218226	-0.438701212236963	0.660878048597038	89871.1027452982	DRB4
cancer1002	dosage.scale(gcounts)	-0.0193725659457033	0.00947264810830259	-2.04510562666458	0.0408444456885818	89862.5338274738	DRB3
cancer1002	dosage.scale(gcounts)	-0.0112513356648566	0.00956390201357303	-1.17643778124125	0.239419981625626	89869.8449234166	DRB1
cancer1002	dosage.scale(gcounts)	-0.0151044639737191	0.00966781582248756	-1.56234502715554	0.118206729963461	89866.6422807751	DQB1
cancer1002	dosage.scale(gcounts)	-0.00527455329318586	0.0094254259773247	-0.559609009277157	0.575746158368917	89871.0461347158	DQA1
cancer1002	dosage.scale(gcounts)	0.00422264683361789	0.00971182505137195	0.434794367822901	0.663711693429256	89870.8551152776	DPB1
cancer1002	dosage.scale(gcounts)	0.0045497394731411	0.00946796613633425	0.480540319602647	0.630843240479868	89871.1400471669	DPA1
cancer1003	dosage.scale(gcounts)	0.0198377947222583	0.00678616033550876	2.9232723280139	0.00346373428274762	162325.454847355	A
cancer1003	dosage.scale(gcounts)	0.0335792257138617	0.00660169391169313	5.08645601614233	3.64816276306234e-07	162309.740516349	B
