GBE_ID	ALL_ID	BETA	SE	Z_STAT	P	AIC	LOCUS	BY_ADJ_P
cancer1001	dosage.scale(gcounts)	0.0131980423929055	0.0195662771687433	0.674530074325486	0.4999743722212461	28837.2348840913	A	1.0
cancer1001	dosage.scale(gcounts)	0.00829263742789776	0.0195462584474705	0.424257023418766	0.671378378057926	28839.990528925	B	1.0
cancer1001	dosage.scale(gcounts)	0.00509806488591585	0.0196900660107167	0.25891558124493497	0.795700375924659	28840.1680815533	C	1.0
cancer1001	dosage.scale(gcounts)	0.0122001748196026	0.0202432389758543	0.602678989965725	0.546722261058967	28839.886481639198	DRB5	1.0
cancer1001	dosage.scale(gcounts)	0.0512474115536713	0.0205802669604252	2.49012375068883	0.0127698623349464	28833.539124993902	DRB4	1.0
cancer1001	dosage.scale(gcounts)	0.0115194469406325	0.0200757526576019	0.573799007045973	0.566103820763108	28839.887456790497	DRB3	1.0
cancer1001	dosage.scale(gcounts)	0.0721828253974205	0.0181762235851317	3.97127737009499	7.14882878857524e-05	28824.696999675	DRB1	0.039993916086132376
cancer1001	dosage.scale(gcounts)	0.0616484639798261	0.0185124065405079	3.33011614913114	0.000868097641134484	28827.996669891498	DQB1	0.30996708261937317
cancer1001	dosage.scale(gcounts)	0.06849638309254501	0.018800855460789	3.6432588525240694	0.000269207863217337	28827.0648772826	DQA1	0.11746305169995447
cancer1001	dosage.scale(gcounts)	0.039600078149746004	0.0199854673603901	1.98144368783844	0.0475415385368188	28834.6954916021	DPB1	1.0
cancer1001	dosage.scale(gcounts)	0.0274852098793884	0.0202628838747351	1.3564312981953401	0.174961980643457	28838.1628807933	DPA1	1.0
cancer1002	dosage.scale(gcounts)	0.0046283000235944295	0.00932706939331251	0.49622232111974107	0.6197375643346129	89870.4495447513	A	1.0
cancer1002	dosage.scale(gcounts)	-0.0188234968787214	0.009626153283143729	-1.95545368176124	0.0505295452799208	89866.7791051019	B	1.0
cancer1002	dosage.scale(gcounts)	-0.0166943428243267	0.00951641425787884	-1.7542681909318	0.0793845635439899	89867.5781607236	C	1.0
cancer1002	dosage.scale(gcounts)	-0.000988533781519721	0.009535158239696329	-0.10367250932494301	0.917429243451038	89871.0132189803	DRB5	1.0
cancer1002	dosage.scale(gcounts)	-0.0042628835105137704	0.00971705432218226	-0.4387012122369629	0.6608780485970379	89871.10274529821	DRB4	1.0
cancer1002	dosage.scale(gcounts)	-0.0193725659457033	0.009472648108302591	-2.04510562666458	0.0408444456885818	89862.5338274738	DRB3	1.0
cancer1002	dosage.scale(gcounts)	-0.0112513356648566	0.009563902013573029	-1.17643778124125	0.239419981625626	89869.8449234166	DRB1	1.0
cancer1002	dosage.scale(gcounts)	-0.0151044639737191	0.009667815822487559	-1.56234502715554	0.11820672996346099	89866.6422807751	DQB1	1.0
cancer1002	dosage.scale(gcounts)	-0.0052745532931858605	0.0094254259773247	-0.559609009277157	0.575746158368917	89871.0461347158	DQA1	1.0
cancer1002	dosage.scale(gcounts)	0.00422264683361789	0.00971182505137195	0.434794367822901	0.663711693429256	89870.85511527759	DPB1	1.0
cancer1002	dosage.scale(gcounts)	0.0045497394731411	0.00946796613633425	0.48054031960264704	0.630843240479868	89871.14004716689	DPA1	1.0
cancer1003	dosage.scale(gcounts)	0.0198377947222583	0.00678616033550876	2.9232723280139	0.00346373428274762	162325.454847355	A	0.850730986415968
cancer1003	dosage.scale(gcounts)	0.0335792257138617	0.0066016939116931295	5.08645601614233	3.6481627630623396e-07	162309.740516349	B	0.0003126568007666123
cancer1003	dosage.scale(gcounts)	0.0221283569200156	0.0067335901593369	3.28626429533019	0.0010152570195388901	162322.59529159	C	0.3480404053227284
cancer1003	dosage.scale(gcounts)	-0.000161679678509754	0.00700937292017906	-0.0230662115357423	0.981597457799668	162333.654263321	DRB5	1.0
cancer1003	dosage.scale(gcounts)	0.046832123182387	0.00714915203035485	6.550724195476709	5.72587235539909e-11	162289.389354744	DRB4	9.609968231483245e-08
cancer1003	dosage.scale(gcounts)	0.00378299162672066	0.0069688623851774	0.54284206196509	0.587238550054459	162333.524686024	DRB3	1.0
cancer1003	dosage.scale(gcounts)	0.0214462483918547	0.00677982922227316	3.1632431568334	0.0015602195642841301	162322.091741628	DRB1	0.48343033487089926
cancer1003	dosage.scale(gcounts)	0.0303805483103228	0.00670712767488863	4.5295914708865705	5.90978449349869e-06	162302.35922787	DQB1	0.004408282477410187
cancer1003	dosage.scale(gcounts)	0.0201521882679497	0.00680929142596744	2.9595132602342002	0.00308125441152521	162325.647593983	DQA1	0.7830505939586163
cancer1003	dosage.scale(gcounts)	0.0160222427166091	0.0071176959598425096	2.25104342852032	0.0243827868971098	162328.469254853	DPB1	1.0
cancer1003	dosage.scale(gcounts)	0.028443623464216	0.00702076410537149	4.05135723652276	5.09213922130942e-05	162318.337562397	DPA1	0.03038701411400148
cancer1004	dosage.scale(gcounts)	-0.017171370741728	0.0381931981984904	-0.449592376435412	0.653004386097316	10003.2228085546	A	1.0
cancer1004	dosage.scale(gcounts)	0.0496266596932779	0.0348207121035787	1.42520519240552	0.154097895841583	10002.2657812908	B	1.0
cancer1004	dosage.scale(gcounts)	0.0545546578788451	0.0352090318783706	1.5494506655935298	0.12127342229286801	9998.749278159208	C	1.0
cancer1004	dosage.scale(gcounts)	0.0838792768386432	0.0399643528505342	2.09885237357277	0.0358299163251602	9999.12272910193	DRB5	1.0
cancer1004	dosage.scale(gcounts)	0.0153662216159215	0.039391306377249996	0.39009169862911797	0.696468741097029	10001.7862566697	DRB4	1.0
cancer1004	dosage.scale(gcounts)	-0.0216537983062588	0.0382032261704395	-0.5668054894016761	0.5708463406412421	10003.9700375383	DRB3	1.0
cancer1004	dosage.scale(gcounts)	0.0440691027344316	0.0359302265814781	1.22651892090068	0.22000345954899697	9999.843295171851	DRB1	1.0
cancer1004	dosage.scale(gcounts)	0.0460545832242342	0.035774101029162994	1.28737220221664	0.19796458842069198	10002.9718339875	DQB1	1.0
cancer1004	dosage.scale(gcounts)	0.0473390102943378	0.0363253506948361	1.30319485948053	0.192508244676725	10002.3908573805	DQA1	1.0
cancer1004	dosage.scale(gcounts)	0.0006744296007005389	0.0392962467456058	0.0171626976252117	0.986306820786096	10004.1422568072	DPB1	1.0
cancer1004	dosage.scale(gcounts)	0.00192704704894912	0.0378857906555707	0.050864638578309994	0.9594333833438821	9999.961984077321	DPA1	1.0
cancer1017	dosage.scale(gcounts)	0.0189430583531604	0.0340545955486741	0.5562555669200401	0.5780361576259699	11188.6547512275	A	1.0
cancer1017	dosage.scale(gcounts)	0.0300681705846629	0.032941429246895	0.9127767456385351	0.36135997100033096	11189.004254731599	B	1.0
cancer1017	dosage.scale(gcounts)	0.007608108182491529	0.0341032933079714	0.22309013131917	0.8234653588884671	11187.6282379066	C	1.0
cancer1017	dosage.scale(gcounts)	0.0251294625836678	0.035522601448113	0.707421797932615	0.47930439475126096	11189.2117280549	DRB5	1.0
cancer1017	dosage.scale(gcounts)	0.00508413008641855	0.0359409085336092	0.141458029133133	0.887508114468669	11188.4199502927	DRB4	1.0
cancer1017	dosage.scale(gcounts)	0.0287280014918103	0.0346992964622776	0.8279130824177141	0.4077197254532629	11185.4418515458	DRB3	1.0
cancer1017	dosage.scale(gcounts)	0.0182030030528547	0.0337441550727301	0.5394416607445349	0.58958214131664	11189.360078874199	DRB1	1.0
cancer1017	dosage.scale(gcounts)	0.0127920586082051	0.0345451133909911	0.37030009030281896	0.7111589065391959	11187.0709907626	DQB1	1.0
cancer1017	dosage.scale(gcounts)	0.0421798037399282	0.0333287720216011	1.2655672916059	0.205668042496061	11187.9968078968	DQA1	1.0
cancer1017	dosage.scale(gcounts)	-0.0514517289688322	0.036852921857152	-1.39613703272342	0.162673233860482	11187.632558167701	DPB1	1.0
cancer1017	dosage.scale(gcounts)	-0.0122978743234853	0.034615514833013	-0.35527058842865294	0.722386887177442	11189.6854418336	DPA1	1.0
cancer1018	dosage.scale(gcounts)	-0.00732158242782735	0.0379006193580994	-0.19317843749861396	0.846819225047957	9753.787841759458	A	1.0
cancer1018	dosage.scale(gcounts)	-0.0202026916138667	0.0386245143627559	-0.523053608496562	0.6009369478617591	9753.14632121292	B	1.0
